evidence_id,source_file,insight_type,semantic_type,extraction_method,text,priority_score,confidence,suggested_narrative_use,source_location,ocr_used,dedup_merged_sources,dedup_merged_ids,downweighted_by_rule
E0100,the fork press kit 2023 new brand.pdf,pdf_ocr_page_insight,Risk,ocr,"Page 8: TheFork @) Pay
TheFork's innovative in-app
contactless payment solution.
Going to a restaurant is a quest for a quality experience and moment.
But a sticking point exists in most cases, the final payment. Indeed, for
restaurateurs, there is a risk of error on the bills and payment requires the
provision of a server, For consumers, the payment experience is experienced
as a waiting time, often considered too long and therefore painful.
In order to reduce these irritants and offer the smoothest possible restaurant
experience, TheFork has Launched in 2020 TheFork Pay, This new feature,
already used by 30 O00 restaurants in France, Italy and Spain, allows users to
pay the bill directly from the TheFork application at the partner restaurants.
Discover its benefits for Restaurants and d…",0.83,medium,What,Page 8,True,,,
E0101,the fork press kit 2023 new brand.pdf,pdf_ocr_page_insight,Claim,ocr,"Page 9: TheFork and restaurateurs:
a win-win model!
At TheFork, as pioneers in offering digital solutions for
management booking for restaurants, we are
supporting restaurants in their digitalisation so that
they get the most out of the digital technology, and
optimise the management of their activity and their
results, thus allowing us to contribute to the growth of
the restaurant industry.
indeed, a PwC study carried out on behalf of TheFork
and TripAdvisor reveals that the two leaders contributed
to the global growth of the restaurant industry, to the
tune of 7.2 billion euros, including 1.6 billion in France,
and that they also helped to create nearly 12,000 jobs in
France in 2018.
The world is constantly changing... so is the landscape
restaurants work in!
Digital tools bring a whole…",0.83,medium,What,Page 9,True,,,
E0102,the fork press kit 2023 new brand.pdf,pdf_ocr_page_insight,Risk,ocr,"Page 10: Tech at the heart of growth Benefits
TheFork is a pure player that creates a model which ve rresTaurant
disrupted the restaurant industry with the idea of
putting technology at the service of restaurateurs. Since
its inception in 2007, the company has continued to N*1 in online bookings
invest and innovate to offer restaurants an even more App available in 12 countries
efficient solution and allow them to optimize the
management of bookings, streamline operations and
ultimately Improve service and revenues thanks to the Increased online visibility
exposure they benefit from millions of monthly visitors.
20 million visits per month
Higher seat occupancy rate
As a unique connection service between restaurants Be Mes more bookings thanks to specia
and their diners through technology…",0.83,medium,What,Page 10,True,,,
E0103,the fork press kit 2023 new brand.pdf,pdf_ocr_page_insight,Claim,ocr,"Page 11: The fight against the
no-shows
This client behaviour is becoming increasingly
widespread in many different industries and services
involving bookings. It describes a person or customer
who fails to show up for their reservation or
appointment and did not give prior notice to the
professional. This phenomenon is impacting not only
the restaurant industry, but it also becoming an issue
across society as it has repercussions when it happens
to hotels, to healthcare professionals as well as small
traders such as hairdressers!
Booking a table online for lunch or dinner ina
restaurant does give greater freedom to customers,
however not honouring this booking is rather a
reflection of current attitudes in our society. With the
fast-paced lives that we all lead, consumerism going
out of …",0.83,medium,What,Page 11,True,,,
E0111,the fork press release new brand (1)_0.pdf,pdf_page_insight,Claim,text_layer,"Page 1: PRESS RELEASE
TheFork innovates and unveils two major
projects to drive the restaurant industry
towards a 100% digital transition of bookings.
TheFork is embracing a fully digital future for restaurants with the launch of revenue
management, the data analysis tool serving business performance.
The company unveils its new brand identity, to increase its impact and connect more
diners with restaurants.
22/06/2023
Created in 2007, TheFork, the leading online restaurant booking platform in Europe, has
disrupted the restaurant industry by supporting the digitalization of the restaurant sector with
the ambition of putting the best of technology at the service of industry growth. Driven by this
strong will, the company is launching two major projects, which will offer restaurants a more
…",0.83,high,What,Page 1,False,,,
E0112,the fork press release new brand (1)_0.pdf,pdf_page_insight,Claim,text_layer,"Page 2: ""We are thrilled to unveil our latest breakthrough Revenue Management feature, which we
believe marks a significant milestone in the digitalization of the industry. We believe this feature
is ushering in a new era of maximizing revenue for restaurants, putting the power of data
analytics at their fingertips. Our cutting-edge data analysis enables an evolution in yield
management, shifting the focus from driving more customers to generating the highest
revenues at the best return on investment. We're proud to observe that, on average, for every
euro restaurants spend, they multiply it by 5(d). This accomplishment reinforces our position as a
trusted leader which provides the most effective marketing solutions, not only within the
industry but also more globally. As we pursue this t…",0.83,high,What,Page 2,False,,,
E0113,the fork press release new brand (1)_0.pdf,pdf_page_insight,Claim,text_layer,"Page 3: ●
Bring people together
●
Feed the human spirit
●
Champion restaurant culture
A reinvigorated hero green and extended palette of supporting greens retains brand equity and
is supported by a rich and enticing complementary palette inspired by fresh food that
restaurants refine to delight diners, to add impact, flex and variety. The art direction captures the
excitement and energy of TheFork starring diverse, global food experiences, real food and real
people.
The new logo and visual identity will debut globally from June 22, supported by a media
campaign including a TV spot starring the new brand, and followed by a full rollout by the end of
2023.
About TheFork
TheFork, a Tripadvisor® company, is the leading online restaurant booking platform in Europe &
Australia. At the forefront…",0.83,high,What,Page 3,False,,,
E0114,TheFork Press Release Trends_0.pdf,pdf_page_insight,Risk,text_layer,"Page 1: PRESS RELEASE
Food trends 2023: TheFork and NellyRodi
unveil the upcoming evolutions
TheFork, leading platform for restaurants booking in Europe, presents the 2023
Food trends study in partnership with NellyRodi, international innovation and
creativity agency.
January 2023
The past few years have been ones marked by societal changes due to the impact of the
pandemic
that
have
profoundly
transformed
people's
behavior.
However, after a
long-awaited return to normality, society has kept confronting a number of geopolitical,
economic, environmental, and identity-led challenges. These challenges, along with the
uncertainty of which path is the right one to take, have been translated into a
bi-polarization between those who wish to take back the old know-how seeking reality
and those wh…",0.83,high,What,Page 1,False,,,
E0117,TheFork Press Release Trends_0.pdf,pdf_page_insight,Claim,text_layer,"Page 4: implementation of a holistic vision of food, social and united, rich in taste as well as
responsible and sustainable.
●
Crave of reality: On social networks, the analysis is the same: sincerity, realism,
genuineness and legitimacy. Having all the filters available on social media
platforms, people don’t want to see pictures with filters on them anymore, they are
looking for raw and pure content. For instance, content producers who tell their
stories and how they feel doing that are becoming the most appealing ones. This is
the case of Eugenia Diaz who shares her daily farm life explaining the work of a
year growing her vegetable garden, recreating a farm, and building her tiny house.
Enlightening sharing
Nowadays people are not only expecting chefs to serve them sustainable and et…",0.83,high,What,Page 4,False,,,
E0118,TheFork Press Release Trends_0.pdf,pdf_page_insight,Claim,text_layer,"Page 5: Voracious wishes
This digitalization of society increased the need for speed. Nowadays, consumers are
looking to have what they want the fastest possible. This came with new ways of
discovering and consuming goods.
●
Tik Tok: Food industry is taking over social media. 5 in 10 of millennials have
ordered food or visited a restaurant after seeing it on TikTok, 38% of people are
traveling a long distance from their homes to try TikTokrecommended food, and
28%, on the other hand, are spending half of their pay on trying new foods*.
Besides, it has to lead to a new way of consuming by people getting wild to have
what they are seeing: recommendations from influencers or random people or just
crave of what is broadcasted on the app. Among the tens of thousands of videos
posted on TikTok …",0.83,high,What,Page 5,False,,,
E0119,TheFork Press Release Trends_0.pdf,pdf_page_insight,Claim,text_layer,"Page 6: experience for a culinary trip around the world, prepared by Michelin-starred chefs
as part of the Great Feast festival at the Old Selfridges Hotel.
LOOKING TO PERFORM
More aware than ever of the repercussions of climate change, people are looking for
effective solutions for their health and for the environment: food is not just food, they want
to seek the origin of the ingredients. If in 2022 people were using alternative medicines
and new ingredients to solve their issues; today, technology is coming to the front stage.
Opposite direction
Some people like to go against the tide. By ideological beliefs, because of reason… they are
seeing how far the world went and decide to go the opposite way.
●
Real aesthetics: On Instagram is emerging a new trend of sharing raw daily dishes..
…",0.83,high,What,Page 6,False,,,
E0120,TheFork Press Release Trends_0.pdf,pdf_page_insight,Claim,text_layer,"Page 7: the food industry's environmental impact. Californian startup Air Protein has
created a meat alternative titled Air Meat, made from microbes that turn recycled
carbon dioxide into protein. The product aims to replicate the flavour and texture
of real meat products.
●
Innovations: Some scientists and searchers are already looking for solutions to
produce food, once no more lands will be cultivable. Central Saint Martins graduate
Arina Shokouhi invented an avocado alternative named Ecovado, designed to
break people away from purchasing resource-intensive imported food.
About TheFork
TheFork, a Tripadvisor® company, is the leading online restaurant booking platform in
Europe & Australia. At the forefront of championing restaurant culture, TheFork harnesses
technology to foster real l…",0.83,high,What,Page 7,False,,,
E0121,thefork-leadership-management-transition.pdf,pdf_page_insight,Claim,text_layer,"Page 1: For Immediate Release
Tripadvisor and TheFork Announce Leadership Management Transition as Bertrand
Jelensperger Moves into Advisory Board Leadership Role and Almir Ambeskovic is
Appointed as CEO for TheFork
●
Jelensperger to Join Tripadvisor CEO and Cofounder, Stephen Kaufer, on a Newly
Created Advisory Board for TheFork, Overseeing Strategy and Growth
●
Ambeskovic to Assume CEO Role starting March 1, 2021, Leading Global Strategy
Development and Operations for TheFork
Needham, MA, and Paris, France, February 23, 2021,​ ​Tripadvisor​®​, the world’s largest travel
guidance platform, and ​TheFork​, a leading global platform for booking restaurants, today
announced a key management transition at La Fourchette SaS (known commercially as
TheFork.com).
The Fork’s co-founder and CEO, Be…",0.83,high,What,Page 1,False,,,
E0122,thefork-leadership-management-transition.pdf,pdf_page_insight,Claim,text_layer,"Page 2: again dine out. We will be alongside restaurateurs to support them as they reopen and navigate
this post-pandemic era​,” added Ambeskovic.
Prior to being appointed as CEO, Almir was Vice President Sales and Marketing for TheFork, a
role in which he was responsible for the growth of the business in all the countries within
twenty-two markets where TheFork operates. Almir has directly led several countries as general
manager at TheFork since 2015. He began his career with TheFork in 2014 as Italy Country
Manager following the acquisition by Tripadvisor of RestOpolis, an online restaurants
reservation startup he founded and led since 2011.
Born in Sarajevo in 1977, Almir began his career as a consultant and entrepreneur in the IT
sector. First as start-up entrepreneur founding three …",0.83,high,What,Page 2,False,,,
E0123,thefork-leadership-management-transition.pdf,pdf_page_insight,Claim,text_layer,"Page 3: TheFork, a Tripadvisor company, is the leading online restaurant reservation platform.
TheFork’s mission is to connect diners with a network of nearly 80,000 partner restaurants
worldwide. With 22 million reviews and 28 million downloads of its app, TheFork has become
the smart move to make to get a table. Through TheFork (website and app), as well as through
Tripadvisor, users can easily select a restaurant according to their preferences, consult  user
reviews, check real-time availability and instantly book online 24/7. From the restaurant side,
TheFork provides them with a software  solution, TheFork Manager, to optimise reservation
management, streamline operations and ultimately improve service and revenue. The platform
operates in 22 countries as “TheFork"" in France, Italy, …",0.83,high,What,Page 3,False,,,
E0133,amex_the_fork.docx,docx_insight,Claim,paragraph,"The proposed acquisition builds on American Express’ broader dining strategy and its successful acquisitions of digital dining platforms Resy and Tock. Together, these platforms are expected to expand American Express’ dining network to 75,000 bookable venues1.",0.825,medium,What,DOCX,,,,
E0134,amex_the_fork.docx,docx_insight,Claim,paragraph,"With the proposed acquisition of TheFork, American Express would grow its dining offerings in Europe and strengthen its ability to provide access for Card Members and diners to sought-after restaurants, while supporting the continued growth of its international business, a major driver of the company’s overall growth.",0.825,medium,What,DOCX,,,,
E0153,Trip Advisor.docx,docx_insight,Claim,paragraph,"""This agreement reflects two things we believe deeply: the tangible value across Tripadvisor Group's portfolio and our ongoing focus on the opportunity we see ahead in Experiences,"" said  Matt Goldberg, CEO, Tripadvisor Group. ""We're proud of what we've built with TheFork and grateful for the team's work to secure a leading position in European dining. I'm confident that we've found an ideal home for them and look forward to expanding our relationship with American Express in the future.""",0.825,medium,What,DOCX,,,,
E0136,amex_the_fork.docx,docx_insight,Claim,paragraph,"""TheFork was created to help restaurants thrive and to make it easier for diners to discover and enjoy great restaurants,” said Almir Ambeskovic, Chief Executive Officer of TheFork. “With Tripadvisor's support, we've built one of Europe's leading dining platforms. American Express shares our commitment to innovation, service and hospitality. Together, we have a unique opportunity to accelerate our mission, bringing even more value to restaurants while creating richer and more seamless experiences for millions of diners across Europe.""",0.762,medium,What,DOCX,,,,
E0139,amex_the_fork.docx,docx_insight,Claim,paragraph,"The proposed transaction is expected to close before the end of 2026, subject to labor consultation and customary conditions, including regulatory approvals. Under the terms of the proposal, American Express will acquire TheFork from Tripadvisor for $700 million in cash, subject to customary adjustments.

1 Venue figures are based on American Express and TheFork internal company records as of June 2026. Methodologies may differ across platforms, and combined figures reflect company estimates at the time of announcement.",0.762,medium,What,DOCX,,,,
E0158,yahoo_finance_2.docx,docx_insight,Claim,paragraph,American Express Expands Dining Ecosystem With TheFork Acquisition From Tripadvisor,0.762,medium,What,DOCX,,,,
E0159,yahoo_finance_2.docx,docx_insight,Claim,paragraph,"American Express (NYSE:AXP) is increasing its focus on dining and experiences, adding TheFork's more than 50,000 European restaurants to its existing network. Once completed, the acquisition is expected to expand American Express's global dining ecosystem to around 75,000 bookable venues, reinforcing its position in premium travel and lifestyle services.",0.762,medium,What,DOCX,,,,
E0160,yahoo_finance_2.docx,docx_insight,Claim,paragraph,"For investors, this move ties into ongoing themes around card issuers seeking more engagement, higher spend per customer, and differentiated rewards. As the deal progresses toward an expected late 2026 close, attention is likely to center on integration, regulatory review, and how effectively American Express converts this larger dining footprint into cardmember activity and merchant relationships.",0.762,medium,What,DOCX,,,,
E0166,yahoo_finance_2.docx,docx_insight,Claim,paragraph,"The specific impact of owning a large European dining platform on American Express's reliance on the US market is not fully reflected in the narrative, yet it may contribute to the goal of more diversified international earnings.",0.762,medium,What,DOCX,,,,
E0154,Trip Advisor.docx,docx_insight,Claim,paragraph,"The transaction is expected to provide Tripadvisor with significant flexibility to accelerate its capital return policy, maintain a well-capitalized balance sheet, and continue investing in its Experiences business to drive shareholder value. The companies also see opportunities to build on their existing relationship and deliver additional value to travelers over time.",0.762,medium,What,DOCX,,,,
E0155,Trip Advisor.docx,docx_insight,Claim,paragraph,"""In addition to welcoming TheFork to the American Express family, we're excited about the opportunity to deepen our relationship with Tripadvisor going forward,"" said Stephen Squeri, Chairman and CEO, American Express. ""By building on our shared strengths across dining, travel, and experiences, we have opportunities to create even greater value for customers and partners.""",0.762,medium,What,DOCX,,,,
E0142,Reuters.docx,docx_insight,Claim,paragraph,"The deal will ⁠allow Tripadvisor to focus more on its experiences-led strategy as part of a major overhaul, the ​company said.",0.762,medium,What,DOCX,,,,
E0143,Reuters.docx,docx_insight,Claim,paragraph,"For American Express, buying TheFork will expand its dining network to 75,000 bookable ​venues and bolster its international business, which has been its fastest-growing segment for many years. It also builds on its acquisitions of dining platforms Resy and Tock.",0.762,medium,What,DOCX,,,,
E0144,Reuters.docx,docx_insight,Claim,paragraph,"""Dining is one of the most important ways ​people engage with our brand,"" said Rafa Marquez, president of international card services ​at American Express.",0.762,medium,What,DOCX,,,,
E0106,the fork press kit 2023 new brand.pdf,pdf_table_insight,Metric,text_layer,PDF Table on page 6 (1 rows × 2 cols):  | ,0.72,high,What,Page 6,,['thefork-leadership-management-transition.pdf'],"['E0107', 'E0108', 'E0109', 'E0110', 'E0126', 'E0128']",
E0124,thefork-leadership-management-transition.pdf,pdf_table_insight,Metric,text_layer,"PDF Table on page 1 (3 rows × 1 cols): For Immediate Release
Tripadvisor and TheFork Announce Leadership Management Transition as Bertrand
Jelensperger Moves into Advisory Board Leadership Role and Almir Ambeskovic is
Appointed as CEO for TheFork
● Jelensperger to Join Tripadvisor CEO and Cofounder, Stephen Kaufer, on a Newly
Created Advisory Board for TheFork, Overseeing Strategy and Growth
● Ambeskovic to Assume CEO Role starting March 1, 2021, Leading Global Strategy
Development and Operations for TheFork
Needham, MA, and Paris, France, February 23, 2021, Tripadvisor® ​, the world’s largest travel
​​ ​
guidance platform, and TheFork, a leading global platform for booking restaurants, today
​ ​
announced a key management transition at La Fourchette SaS (known commercially as
TheFork.com…",0.72,high,What,Page 1,,,,
E0130,amex_the_fork.docx,docx_insight,Claim,paragraph,American Express – link https://www.americanexpress.com/en-us/newsroom/articles/travel-and-dining/american-express-announces-proposed-acquisition-of-thefork--a-le.html,0.7,medium,What,DOCX,,,,
E0131,amex_the_fork.docx,docx_insight,Claim,paragraph,"NEW YORK — American Express (NYSE: AXP) today announced a proposed acquisition of TheFork, a leading online restaurant reservation and management platform in Europe, from Tripadvisor, Inc. (NASDAQ: TRIP), growing its dining offering in the region.",0.7,medium,What,DOCX,,,,
E0132,amex_the_fork.docx,docx_insight,Claim,paragraph,"TheFork connects millions of diners with more than 50,000 restaurants across 11 European countries through its restaurant management, booking and customer engagement platform, alongside a consumer-facing restaurant discovery and reservation app and website.",0.7,medium,What,DOCX,,,,
E0137,amex_the_fork.docx,docx_insight,Claim,paragraph,"Founded in 2007, TheFork provides restaurants with reservation management, guest engagement and operational tools designed to help restaurants optimize their businesses while delivering a seamless discovery and booking experience for diners.",0.7,medium,What,DOCX,,,,
E0138,amex_the_fork.docx,docx_insight,Claim,paragraph,"Following the closing of the potential transaction, TheFork would continue to operate under its existing leadership team while benefiting from the global reach and powerful backing of American Express.",0.7,medium,What,DOCX,,,,
E0161,yahoo_finance_2.docx,docx_insight,Claim,paragraph,3 things going right for American Express that this headline doesn't cover.,0.7,medium,What,DOCX,,,,
E0163,yahoo_finance_2.docx,docx_insight,Claim,paragraph,How This Fits Into The American Express Narrative,0.7,medium,What,DOCX,,,,
E0164,yahoo_finance_2.docx,docx_insight,Claim,paragraph,TheFork builds on the narrative focus on premium cardmembers and experience-led rewards by adding thousands of European venues where American Express can link payments with dining benefits.,0.7,medium,What,DOCX,,,,
E0165,yahoo_finance_2.docx,docx_insight,Claim,paragraph,Integrating multiple reservation platforms across regions could test the narrative assumption that customer engagement expenses and product investment remain well controlled over time.,0.7,medium,What,DOCX,,,,
E0167,yahoo_finance_2.docx,docx_insight,Claim,paragraph,Knowing what a company is worth starts with understanding its story. Check out one of the top narratives in the Simply Wall St Community for American Express to help decide what it's worth to you.,0.7,medium,What,DOCX,,,,
E0149,Trip Advisor.docx,docx_insight,Claim,paragraph,Tripadvisor Enters into Agreement to Sell TheFork to American Express for $700 Million,0.7,medium,What,DOCX,,,,
E0150,Trip Advisor.docx,docx_insight,Claim,paragraph,Transaction highlights the value of Tripadvisor's portfolio and enables greater focus on experiences,0.7,medium,What,DOCX,,,,
E0151,Trip Advisor.docx,docx_insight,Claim,paragraph,"NEEDHAM, Mass., June 15, 2026 /PRNewswire/ -- Tripadvisor, Inc. (NASDAQ: TRIP) (the ""Company"") today announced it has entered into a put option agreement to sell TheFork, its online restaurant reservation and management platform in Europe, to American Express for $700 million in an all-cash transaction.",0.7,medium,What,DOCX,,,,
E0152,Trip Advisor.docx,docx_insight,Claim,paragraph,"The agreement follows Tripadvisor's February 2026 announcement that it would explore strategic alternatives for TheFork. It recognizes the value created in the business over more than a decade, and allows Tripadvisor to focus even more fully on its Experiences strategy.",0.7,medium,What,DOCX,,,,
E0156,Trip Advisor.docx,docx_insight,Claim,paragraph,"The proposed transaction is expected to close before the end of 2026, subject to labor consultation and customary closing conditions, including regulatory approvals. The Company anticipates minimal tax cost from the sale of TheFork, with net proceeds expected to closely approximate the gross proceeds.  Potential uses of proceeds include share repurchases, debt paydown, or inorganic investment within the experiences category.",0.7,medium,What,DOCX,,,,
E0157,Trip Advisor.docx,docx_insight,Claim,paragraph,"As of the first quarter of 2026, the Company's last reported period, the last twelve-month revenue for TheFork was $232 million and adjusted EBITDA for TheFork segment for the same period was $28 million.",0.7,medium,What,DOCX,,,,
E0140,Reuters.docx,docx_insight,Claim,paragraph,"June 15 (Reuters) - American Express (AXP.N) will buy restaurant booking platform TheFork from ‌Tripadvisor (TRIP.O) in an all-cash deal worth $700 million, the companies said on Monday, sending shares of the online travel platform up 7% in morning trading.",0.7,medium,What,DOCX,,,,
E0141,Reuters.docx,docx_insight,Claim,paragraph,"Activist investor Starboard Value had in October last year pressed ​for TheFork's sale, as Tripadvisor struggled to recover from pandemic-era disruptions and contend ​with heavy competition from rivals including Booking Holdings (BKNG.O) and Airbnb (ABNB.O).",0.7,medium,What,DOCX,,,,
E0145,Reuters.docx,docx_insight,Claim,paragraph,"TheFork generated $232 million in revenue for the year ended March 31, a 25% jump ‌from a ⁠year earlier, showed Tripadvisor's earnings report. The platform connects millions of diners with more than 50,000 restaurants across 11 European countries, according to the companies.",0.7,medium,What,DOCX,,,,
E0146,Reuters.docx,docx_insight,Claim,paragraph,"""We see the deal as a plus (for Tripadvisor), but talk of using proceeds to fund ongoing investment in the ​experiences business could ​be an area of ⁠investor pushback as it suggests no plans to explore options at this point for Viator,"" said BTIG analyst Jake Fuller. Viator is ​a Tripadvisor-owned online marketplace for tours, activities and attractions.",0.7,medium,What,DOCX,,,,
E0147,Reuters.docx,docx_insight,Claim,paragraph,"Meanwhile, analysts ​at William ⁠Blair said the deal was consistent with American Express’ focus on providing premium experiences and driving more customer engagement.",0.7,medium,What,DOCX,,,,
E0148,Reuters.docx,docx_insight,Claim,paragraph,TheFork will continue to operate under its existing leadership and the ⁠transaction is ​expected to close before the end of 2026.,0.7,medium,What,DOCX,,,,
E0125,thefork-leadership-management-transition.pdf,pdf_table_cell,Metric,table_cell,"PDF table cell (p1 r0 c0): For Immediate Release
Tripadvisor and TheFork Announce Leadership Management Transition as Bertrand
Jelensperger Moves into Advisory Board Leadership Role and Almir Ambeskovic is
Appointed as CEO for TheFork
● Jelensperger to Join Tripadvisor CEO and Cofounder, Stephen Kaufer, on a Newly
Created Advisory Board for TheFork, Overseeing Strategy and Growth
● Ambeskovic to Assume CEO Role starting March 1, 2021, Leading Global Strategy
Development and Operations for TheFork
Needham, MA, and Paris, France, February 23, 2021, Tripadvisor® ​, the world’s largest travel
​​ ​
guidance platform, and TheFork, a leading global platform for booking restaurants, today
​ ​
announced a key management transition at La Fourchette SaS (known commercially as
TheFork.com).
The Fork’…",0.7,medium,What,Page 1,,,,
